Unnamed: 0_level_0,Driver,Consecutive starts,Races,Races
Unnamed: 0_level_1,Driver,Consecutive starts,First,Last
1,Lewis Hamilton,265,2007 Australian Grand Prix,2020 Bahrain Grand Prix
2,Max Verstappen,233,2015 Australian Grand Prix,2025 Abu Dhabi Grand Prix (ongoing)
3,Daniel Ricciardo,232,2011 British Grand Prix,2022 Abu Dhabi Grand Prix
4,Valtteri Bottas,208,2015 Malaysian Grand Prix,2024 Abu Dhabi Grand Prix
5,Nico Rosberg,206,2006 Bahrain Grand Prix,2016 Abu Dhabi Grand Prix
6,Riccardo Patrese,187,1982 Belgian Grand Prix,1993 Australian Grand Prix
7,Jenson Button,179,2005 French Grand Prix,2015 Chinese Grand Prix
8,Fernando Alonso,176,2005 French Grand Prix,2014 Abu Dhabi Grand Prix
9,David Coulthard,175,1995 Brazilian Grand Prix,2005 Canadian Grand Prix
10,Rubens Barrichello,167,2002 German Grand Prix,2011 Brazilian Grand Prix
Source:[5],Source:[5],Source:[5],Source:[5],Source:[5]
