Unnamed: 0,Driver,Season,Races,Poles,Percentage
1,Nigel Mansell,1992,16,14,87.50%
2,Ayrton Senna,1988,16,13,81.25%
2,Ayrton Senna,1989,16,13,81.25%
2,Alain Prost,1993,16,13,81.25%
5,Sebastian Vettel,2011,19,15,78.95%
6,Juan Manuel Fangio,1956,8,6,75.00%
7,Jim Clark,1963,10,7,70.00%
8,Mika Häkkinen,1999,16,11,68.75%
9,Alberto Ascari,1953,9,6,66.67%
9,Jim Clark,1962,9,6,66.67%
Source:[35],Source:[35],Source:[35],Source:[35],Source:[35],Source:[35]
