Unnamed: 0,Driver,Starts,Races led,Percentage
1,Juan Manuel Fangio,51,38,74.51%
2,Alberto Ascari,32,21,65.63%
3,Jim Clark,72,43,59.72%
4,Ayrton Senna,161,86,53.42%
5,Jackie Stewart,99,51,51.52%
6,Lewis Hamilton,380,192,50.53%
7,Stirling Moss,66,31,46.97%
8,Michael Schumacher,306,142,46.41%
9,Max Verstappen,233,108,46.35%
10,Giuseppe Farina,33,14,42.42%
Source:[82],Source:[82],Source:[82],Source:[82],Source:[82]
