0,1
Archery Chess Cricket Test One Day International Twenty20 International Cycling FIBA Basketball World Cup records FIFA World Cup records Formula One motorsport constructors drivers Grand Prix motorcycle racing Juggling World Rally Championship Speed skating Figure skating Swimming,Archery Chess Cricket Test One Day International Twenty20 International Cycling FIBA Basketball World Cup records FIFA World Cup records Formula One motorsport constructors drivers Grand Prix motorcycle racing Juggling World Rally Championship Speed skating Figure skating Swimming
Athletics,Athletics record progressions Olympic records National records
Weightlifting,Men 1993–1997 1998–2018 Women 1998–2018 Junior Youth
In Australia,National Rugby League Australian Football League
In the US,NBA Regular season Post-season All-Star NFL Individual Quarterback Team NHL Individual Team All-Star Major League Baseball Career Season Game Major League Soccer Track and field WNBA Regular season Post-season
In India,Indian Super League
