Unnamed: 0,Driver,Wins,Grand Prix,Seasons
1,Ayrton Senna,5,Monaco Grand Prix,"1989, 1990, 1991, 1992, 1993"
1,Lewis Hamilton,5,Spanish Grand Prix,"2017, 2018, 2019, 2020, 2021"
3,Juan Manuel Fangio,4,Argentine Grand Prix,"1954, 1955, 1956, 1957"
3,Jim Clark,4,Belgian Grand Prix,"1962, 1963, 1964, 1965"
3,Jim Clark,4,British Grand Prix,"1962, 1963, 1964, 1965"
3,Ayrton Senna,4,Belgian Grand Prix,"1988, 1989, 1990, 1991"
3,Michael Schumacher,4,Spanish Grand Prix,"2001, 2002, 2003, 2004"
3,Michael Schumacher,4,United States Grand Prix,"2003, 2004, 2005, 2006"
3,Lewis Hamilton,4,British Grand Prix,"2014, 2015, 2016, 2017"
3,Lewis Hamilton,4,United States Grand Prix,"2014, 2015, 2016, 2017"
3,Max Verstappen,4,Emilia Romagna Grand Prix,"2021, 2022, 2024, 2025 (ongoing)"
3,Max Verstappen,4,Abu Dhabi Grand Prix,"2020, 2021, 2022, 2023"
3,Max Verstappen,4,Japanese Grand Prix,"2022, 2023, 2024, 2025 (ongoing)"
Source:[26],Source:[26],Source:[26],Source:[26],Source:[26]
