Unnamed: 0,Driver,Starts,Points,Average
1,Max Verstappen,233,3444.5,14.78
2,Lewis Hamilton,380,5018.5,13.21
3,Oscar Piastri,70,799,11.41
4,Sebastian Vettel,299,3098,10.36
5,Charles Leclerc,171,1672,9.78
6,Lando Norris,152,1430,9.41
7,Nico Rosberg,206,1594.5,7.74
8,Valtteri Bottas,246,1797,7.30
9,George Russell,152,1033,6.8
10,Kimi Antonelli,24,150,6.25
Source:[62],Source:[62],Source:[62],Source:[62],Source:[62]
