Unnamed: 0,Driver,Entries,Starts,Podiums
1,Nick Heidfeld,185,183,13
2,Stefan Johansson,103,79,12
3,Chris Amon,108,97,11
4,Romain Grosjean,181,179,10
5,Jean Behra,53,52,9
5,Eddie Cheever,143,132,9
5,Martin Brundle,165,158,9
8,Luigi Villoresi,34,31,8
9,Andrea de Cesaris,214,208,5
10,Derek Warwick,162,147,4
Sources:[22][60],Sources:[22][60],Sources:[22][60],Sources:[22][60],Sources:[22][60]
