Unnamed: 0,Driver,Poles,Grand Prix,Seasons,Unnamed: 5
1,Lewis Hamilton,9,Hungarian Grand Prix,"2007, 2008, 2012, 2013, 2015, 2018, 2020, 2021, 2023",
2,Ayrton Senna,8,San Marino Grand Prix,"1985, 1986, 1987, 1988, 1989, 1990, 1991, 1994",
2,Michael Schumacher,8,Japanese Grand Prix,"1994, 1995, 1998, 1999, 2000, 2001, 2002, 2004",
2,Lewis Hamilton,8,Australian Grand Prix,"2008, 2012, 2014, 2015, 2016, 2017, 2018, 2019",
5,Michael Schumacher,7,Spanish Grand Prix,"1994, 1995, 2000, 2001, 2002, 2003, 2004",
5,Michael Schumacher,7,Hungarian Grand Prix,"1994, 1996, 1997, 2000, 2001, 2004, 2005",
5,Lewis Hamilton,7,British Grand Prix,"2007, 2013, 2015, 2016, 2017, 2018, 2020",
5,Lewis Hamilton,7,Italian Grand Prix,"2009, 2012, 2014, 2015, 2016, 2017, 2020",
9,Ayrton Senna,6,Australian Grand Prix,"1985, 1988, 1989, 1990, 1991, 1993",
9,Ayrton Senna,6,Brazilian Grand Prix,"1986, 1988, 1989, 1990, 1991, 1994",
9,Michael Schumacher,6,Canadian Grand Prix,"1994, 1995, 1997, 1999, 2000, 2001",
9,Lewis Hamilton,6,Chinese Grand Prix,"2007, 2008, 2013, 2014, 2015, 2017",
9,Lewis Hamilton,6,Canadian Grand Prix,"2007, 2008, 2010, 2015, 2016, 2017",
9,Lewis Hamilton,6,Belgian Grand Prix,"2008, 2013, 2015, 2017, 2018, 2020",
9,Lewis Hamilton,6,Spanish Grand Prix,"2014, 2016, 2017, 2018, 2020, 2021",
Source:[33],Source:[33],Source:[33],Source:[33],Source:[33],Source:[33]
