Unnamed: 0,Driver,Age,Race
1,Kimi Antonelli,"18 years, 225 days",2025 Japanese Grand Prix
2,Max Verstappen,"19 years, 44 days",2016 Brazilian Grand Prix
3,Lando Norris,"20 years, 235 days",2020 Austrian Grand Prix
4,Nico Rosberg,"20 years, 258 days",2006 Bahrain Grand Prix
5,Charles Leclerc,"21 years, 166 days",2019 Bahrain Grand Prix
6,Esteban Gutiérrez,"21 years, 280 days",2013 Spanish Grand Prix
7,Fernando Alonso,"21 years, 321 days",2003 Canadian Grand Prix
8,Bruce McLaren,"21 years, 322 days",1959 British Grand Prix
9,Sebastian Vettel,"21 years, 353 days",2009 British Grand Prix
10,Daniil Kvyat,"22 years, 19 days",2016 Spanish Grand Prix
Source:[45],Source:[45],Source:[45],Source:[45]
