0,1,2,3,4,5,6,7,8,9,10
Position,1er,2e,3e,4e,5e,6e,7e,8e,9e,10e
Points en Grand Prix,25,18,15,12,10,8,6,4,2,1
Points en Sprint,8,7,6,5,4,3,2,1,,
