Constructor,Practice drivers,Practice drivers,Practice drivers
Constructor,Driver name,Rounds,Unnamed: 3_level_1
Force India-Mercedes,Paul di Resta,"2–5, 9–10, 12, 14",
HRT-Cosworth,Christian Klien  Sakon Yamamoto,"5, 9 7",
Lotus-Cosworth,Fairuz Fauzy,"3, 10–11, 15, 19",
Virgin-Cosworth,Jérôme d'Ambrosio,15–18,
Sources:[26][27][28][16][29],Sources:[26][27][28][16][29],Sources:[26][27][28][16][29],
