Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Bahrain Grand Prix,Sebastian Vettel,Fernando Alonso,Fernando Alonso,Ferrari,Report
2,Australian Grand Prix,Sebastian Vettel,Mark Webber,Jenson Button,McLaren-Mercedes,Report
3,Malaysian Grand Prix,Mark Webber,Mark Webber,Sebastian Vettel,Red Bull-Renault,Report
4,Chinese Grand Prix,Sebastian Vettel,Lewis Hamilton,Jenson Button,McLaren-Mercedes,Report
5,Spanish Grand Prix,Mark Webber,Lewis Hamilton,Mark Webber,Red Bull-Renault,Report
6,Monaco Grand Prix,Mark Webber,Sebastian Vettel,Mark Webber,Red Bull-Renault,Report
7,Turkish Grand Prix,Mark Webber,Vitaly Petrov,Lewis Hamilton,McLaren-Mercedes,Report
8,Canadian Grand Prix,Lewis Hamilton,Robert Kubica,Lewis Hamilton,McLaren-Mercedes,Report
9,European Grand Prix,Sebastian Vettel,Jenson Button,Sebastian Vettel,Red Bull-Renault,Report
10,British Grand Prix,Sebastian Vettel,Fernando Alonso,Mark Webber,Red Bull-Renault,Report
11,German Grand Prix,Sebastian Vettel,Sebastian Vettel,Fernando Alonso,Ferrari,Report
12,Hungarian Grand Prix,Sebastian Vettel,Sebastian Vettel,Mark Webber,Red Bull-Renault,Report
13,Belgian Grand Prix,Mark Webber,Lewis Hamilton,Lewis Hamilton,McLaren-Mercedes,Report
14,Italian Grand Prix,Fernando Alonso,Fernando Alonso,Fernando Alonso,Ferrari,Report
15,Singapore Grand Prix,Fernando Alonso,Fernando Alonso,Fernando Alonso,Ferrari,Report
16,Japanese Grand Prix,Sebastian Vettel,Mark Webber,Sebastian Vettel,Red Bull-Renault,Report
17,Korean Grand Prix,Sebastian Vettel,Fernando Alonso,Fernando Alonso,Ferrari,Report
18,Brazilian Grand Prix,Nico Hülkenberg,Lewis Hamilton,Sebastian Vettel,Red Bull-Renault,Report
19,Abu Dhabi Grand Prix,Sebastian Vettel,Lewis Hamilton,Sebastian Vettel,Red Bull-Renault,Report
Source:[144],Source:[144],Source:[144],Source:[144],Source:[144],Source:[144],Source:[144]
