0,1,2,3,4,5,6,7,8,9,10
Pos. Driver SUI 500 BEL FRA GBR GER NED ITA Pts. 1  Alberto Ascari Ret 1PF 1PF 1F 1PF (1PF) (1PF*) 36 (53.5) 2  Giuseppe Farina RetP/ Ret† 2 2 6P 2 2 (4) 24 (27) 3  Piero Taruffi 1F Ret 3 2 4 7 22 4  Rudi Fischer 2 11†/ DNS 13 3 Ret 10 =  Mike Hawthorn 4 Ret 3 4 NC 10 6 [15]  Robert Manzon Ret 3 4 Ret Ret 5 14 9 7  Troy Ruttman 1 8 =  Luigi Villoresi 3 3 8 9  José Froilán González 2F* 6.5 10  Jim Rathmann 2 6 =  Jean Behra 3 Ret 7 5 Ret Ret 6 12  Sam Hanks 3 4 13  Ken Wharton 4 Ret Ret 9 3 =  Dennis Poore 4 12 3 =  Duane Carter 4 3 16  Alan Brown 5 6 22 15 2 =  Maurice Trintignant DNS 5 Ret Ret 6 Ret 2 =  Paul Frère 5 Ret Ret 2 =  Felice Bonetto DSQ 5 2 =  Art Cross 5 2 =  Eric Thompson 5 2 22  Bill Vukovich 17F 1 —  Roger Laurent 12 6 0 —  Toulo de Graffenried 6 Ret† 19 DNQ 0 —  Peter Collins Ret Ret 6 Ret DNS DNQ 0 —  André Simon Ret† 6 0 —  Jimmy Bryan 6 0 —  Peter Hirt 7 11† Ret 0 —  Charles de Tornaco 7 Ret DNQ 0 —  Duncan Hamilton Ret 7 0 —  Jimmy Reece 7 0 —  Reg Parnell 7 0 —  Fritz Riess 7 0 —  Lance Macklin Ret 11 9 15 8 DNQ 0 —  Eric Brandon 8 9 20 13 0 —  Chico Landi 9† 8 0 —  Johnny Claes 8 Ret 14 10 DNQ 0 —  Toni Ulmen Ret 8 0 —  George Connor 8 0 —  Philippe Étancelin 8 0 —  Roy Salvadori 8 0 —  Ken Downing 9 Ret 0 —  Cliff Griffith 9 0 —  Helmut Niedermayr 9 0 —  Jan Flinterman Ret/ 9† 0 —  Birabongse Bhanudej Ret 10 Ret 11 0 —  Louis Rosier Ret Ret Ret 10 0 —  Peter Whitehead Ret 10 DNQ 0 —  Johnnie Parsons 10 0 —  Yves Giraud-Cabantous 10 0 —  Eitel Cantoni Ret Ret 11 0 —  Jack McGrath 11 0 —  Hans Klenk 11 0 —  Jim Rigsby 12 0 —  Franco Comotti 12 0 —  Graham Whitehead 12 0 —  Ernst Klodwig 12 0 —  Joe James 13 0 —  Arthur Legat 13 0 —  Bill Schindler 14 0 —  Robert O'Brien 14 0 —  Tony Gaze 15 Ret Ret DNQ 0 —  George Fonder 15 0 —  Kenneth McAlpine 16 Ret 0 —  Eddie Johnson 16 0 —  Harry Schell Ret Ret / Ret† 17 0 —  Gino Bianco 18 Ret Ret Ret 0 —  Chuck Stevenson 18 0 —  Henry Banks 19 0 —  Manny Ayulo 20 0 —  Johnny McDowell 21 0 —  Tony Crook 21 0 —  Dries van der Lof NC 0 —  Stirling Moss Ret Ret Ret Ret Ret 0 —  Piero Carini Ret Ret 0 —  Bill Aston DNS Ret DNQ 0 —  Hans Stuck Ret DNQ 0 —  George Abecassis Ret 0 —  Max de Terra Ret 0 —  Spider Webb Ret 0 —  Rodger Ward Ret 0 —  Tony Bettenhausen Ret 0 —  Duke Nalon Ret 0 —  Fred Agabashian RetP 0 —  Bob Sweikert Ret 0 —  Gene Hartley Ret 0 —  Bob Scott Ret 0 —  Chet Miller Ret 0 —  Bobby Ball Ret 0 —  Andy Linden Ret 0 —  Robin Montgomerie-Charrington Ret 0 —  David Murray Ret 0 —  Willi Heeks Ret 0 —  Adolf Brudes Ret 0 —  Marcel Balsa Ret 0 —  Günther Bechem Ret 0 —  Rudolf Krause Ret 0 —  Rudolf Schoeller Ret 0 —  Paul Pietsch Ret 0 —  Theo Helfrich Ret 0 —  Josef Peters Ret 0 —  Franco Rol Ret 0 —  Élie Bayol Ret 0 —  Willi Krakau DNS 0 —  Ludwig Fischer DNS 0 —  Harry Merkel DNS 0 —  Alberto Crespo DNQ 0 —  Piero Dusio DNQ 0 Pos. Driver SUI 500 BEL FRA GBR GER NED ITA Pts.,"Key Colour Result Gold Winner Silver Second place Bronze Third place Green Other points position Blue Other classified position Not classified, finished (NC) Purple Not classified, retired (Ret) Red Did not qualify (DNQ) Black Disqualified (DSQ) White Did not start (DNS) Race cancelled (C) Blank Did not practice (DNP) Excluded (EX) Did not arrive (DNA) Withdrawn (WD) Did not enter (empty cell) Annotation Meaning P Pole position F Fastest lap",,,,,,,,,
Pos.,Driver,SUI,500,BEL,FRA,GBR,GER,NED,ITA,Pts.
1,Alberto Ascari,,Ret,1PF,1PF,1F,1PF,(1PF),(1PF*),36 (53.5)
2,Giuseppe Farina,RetP/ Ret†,,2,2,6P,2,2,(4),24 (27)
3,Piero Taruffi,1F,,Ret,3,2,4,,7,22
4,Rudi Fischer,2,,,11†/ DNS,13,3,,Ret,10
=,Mike Hawthorn,,,4,Ret,3,,4,NC,10
6 [15],Robert Manzon,Ret,,3,4,Ret,Ret,5,14,9
7,Troy Ruttman,,1,,,,,,,8
=,Luigi Villoresi,,,,,,,3,3,8
