Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
AFM,AFM-Küchen,AFM,Küchen 2.0 V8,E,Hans Stuck,1
Toni Ulmen,Veritas,Meteor,Veritas 2.0 L6,D,Toni Ulmen,"1, 6"
Équipe Gordini,Gordini,16 16S 15,Gordini 20 2.0 L6 Gordini 1500 1.5 L4,E,Jean Behra,"1, 3–4, 6–8"
Équipe Gordini,Gordini,16 16S 15,Gordini 20 2.0 L6 Gordini 1500 1.5 L4,E,Robert Manzon,"1, 3–8"
Équipe Gordini,Gordini,16 16S 15,Gordini 20 2.0 L6 Gordini 1500 1.5 L4,E,Birabongse Bhanudej,"1, 3–5"
Équipe Gordini,Gordini,16 16S 15,Gordini 20 2.0 L6 Gordini 1500 1.5 L4,E,Johnny Claes,3
Équipe Gordini,Gordini,16 16S 15,Gordini 20 2.0 L6 Gordini 1500 1.5 L4,E,Maurice Trintignant,4–8
Écurie Rosier,Ferrari,500 166/F2,Ferrari 500 2.0 L4 Ferrari 166 2.0 V12,D P,Louis Rosier,"1, 3–4, 8"
Écurie Rosier,Ferrari,500 166/F2,Ferrari 500 2.0 L4 Ferrari 166 2.0 V12,D P,Maurice Trintignant,1
HW Motors,HWM-Alta,52 51/52,Alta F2 2.0 L4,D,George Abecassis,1
HW Motors,HWM-Alta,52 51/52,Alta F2 2.0 L4,D,Peter Collins,"1, 3–6, 8"
HW Motors,HWM-Alta,52 51/52,Alta F2 2.0 L4,D,Lance Macklin,"1, 3–5, 7–8"
HW Motors,HWM-Alta,52 51/52,Alta F2 2.0 L4,D,Stirling Moss,1
HW Motors,HWM-Alta,52 51/52,Alta F2 2.0 L4,D,Paul Frère,"3, 6"
HW Motors,HWM-Alta,52 51/52,Alta F2 2.0 L4,D,Roger Laurent,3
HW Motors,HWM-Alta,52 51/52,Alta F2 2.0 L4,D,Yves Giraud-Cabantous,4
HW Motors,HWM-Alta,52 51/52,Alta F2 2.0 L4,D,Duncan Hamilton,"5, 7"
HW Motors,HWM-Alta,52 51/52,Alta F2 2.0 L4,D,Johnny Claes,6
