0,1,2
#,Écurie,Départs
1,Sauber,373
2,Minardi,340
3,Arrows,291[37]
4,Haas,214
5,Force India,212
6,Lola Cars,149
7,Toyota,139
8,Osella,132
9,Aston Martin,119
10,Surtees,118
