0,1,2
#,Pilote,Tours en tête
1,Lewis Hamilton,5 488
2,Michael Schumacher,5 111
3,Max Verstappen,3 872
4,Sebastian Vettel,3 501
5,Ayrton Senna,2 931
6,Alain Prost,2 683
7,Nigel Mansell,2 091
8,Jim Clark,1 943
9,Jackie Stewart,1 919
10,Fernando Alonso,1 773
