0,1,2,3
#,Pilote,Âge,Course
1,Juan Manuel Fangio,"46 ans, 6 mois et 26 jours",Grand Prix automobile d'Argentine 1958
2,Piero Taruffi,"45 ans, 7 mois et 6 jours",Grand Prix automobile de Suisse 1952
3,Giuseppe Farina,"44 ans, 10 mois et 17 jours",Grand Prix automobile d'Italie 1951
4,Jack Brabham,"44 ans, 3 mois et 16 jours",Grand Prix automobile de Grande-Bretagne 1970
5,Luigi Villoresi,44 ans et 22 jours,Grand Prix automobile des Pays-Bas 1953
6,Karl Kling,"43 ans, 10 mois et 16 jours",Grand Prix automobile d'Allemagne 1954
7,Michael Schumacher,"43 ans, 6 mois et 19 jours",Grand Prix automobile d'Allemagne 2012
8,Fernando Alonso,"42 ans, 11 mois et 1 jour",Grand Prix automobile de Chine 2024
9,Paul Russo,"42 ans, 1 mois et 20 jours",500 miles d'Indianapolis 1956
10,Maurice Trintignant,"42 ans, 1 mois et 12 jours",Grand Prix automobile des États-Unis 1959
