0,1,2,3,4
#,Écurie,Départs,Victoires,%
1,Ferrari,1 122,248,"22,10 %"
2,McLaren,994,203,"20,42 %"
3,Mercedes,341,131,"38,42 %"
4,Red Bull Racing,417,130,"31,18 %"
5,Williams,874,114,"13,03 %"
6,Lotus,606,81,"13,37 %"
7,Brabham,394,35,"8,88 %"
8,Renault,400,35,"8,75 %"
9,/ Benetton,260,27,"10,38 %"
10,Tyrrell,430,23,"5,35 %"
