0,1,2,3
#,Pilote,Âge,Course
1,Max Verstappen,"18 ans, 7 mois et 15 jours",Grand Prix automobile d'Espagne 2016
2,Sebastian Vettel,"21 ans, 2 mois et 11 jours",Grand Prix automobile d'Italie 2008
3,Charles Leclerc,"21 ans, 10 mois et 16 jours",Grand Prix automobile de Belgique 2019
4,Fernando Alonso,22 ans et 26 jours,Grand Prix automobile de Hongrie 2003
5,Troy Ruttman,"22 ans, 2 mois et 19 jours",500 miles d'Indianapolis 1952
6,Bruce McLaren,"22 ans, 3 mois et 12 jours",Grand Prix automobile des États-Unis 1959
7,Lewis Hamilton,"22 ans, 5 mois et 3 jours",Grand Prix automobile du Canada 2007
8,Oscar Piastri,"23 ans, 3 mois et 15 jours",Grand Prix automobile de Hongrie 2024
9,Kimi Räikkönen,"23 ans, 5 mois et 6 jours",Grand Prix automobile de Malaisie 2003
10,Robert Kubica,"23 ans, 6 mois et 1 jour",Grand Prix automobile du Canada 2008
