0,1,2,3
#,Pilote,Âge,Saison
1,Juan Manuel Fangio,"46 ans, 1 mois et 11 jours",1957
2,Giuseppe Farina,"43 ans, 10 mois et 4 jours",1950
3,Jack Brabham,"40 ans, 5 mois et 2 jours",1966
4,Graham Hill,"39 ans, 8 mois et 19 jours",1968
5,Nigel Mansell,39 ans et 8 jours,1992
6,Alain Prost,"38 ans, 7 mois et 2 jours",1993
7,Mario Andretti,"38 ans, 6 mois et 13 jours",1978
8,Damon Hill,36 ans et 26 jours,1996
9,Lewis Hamilton,"35 ans, 10 mois et 8 jours",2020
10,Niki Lauda,"35 ans, 7 mois et 29 jours",1984
