0,1,2,3
#,Pilote,Âge,Course
1,Max Verstappen,"17 ans, 5 mois et 15 jours",Grand Prix automobile d'Australie 2015
2,Lance Stroll,"18 ans, 4 mois et 26 jours",Grand Prix automobile d'Australie 2017
3,Andrea Kimi Antonelli,"18 ans, 6 mois et 19 jours",Grand Prix automobile d'Australie 2025
4,Oliver Bearman,"18 ans, 10 mois et 1 jour",Grand Prix automobile d'Arabie saoudite 2024
5,Jaime Alguersuari,"19 ans, 4 mois et 3 jours",Grand Prix automobile de Hongrie 2009
6,Lando Norris,"19 ans, 4 mois et 4 jours",Grand Prix automobile d'Australie 2019
7,Mike Thackwell,"19 ans, 5 mois et 29 jours",Grand Prix automobile du Canada 1980
8,Ricardo Rodríguez,"19 ans, 6 mois et 27 jours",Grand Prix automobile d'Italie 1961
9,Fernando Alonso,"19 ans, 7 mois et 4 jours",Grand Prix automobile d'Australie 2001
10,Esteban Tuero,"19 ans, 10 mois et 14 jours",Grand Prix automobile d'Australie 1998
