0,1,2,3
#,Écurie,Période d'activité,Départs
1,Ferrari,depuis 1950,1 122[34]
2,McLaren,depuis 1966,994
3,Williams,depuis 1978[35],875
4,Lotus,1958-1994 puis 2010-2015,606
5,Tyrrell,1970-1998,430
6,Red Bull,depuis 2005,417
7,Renault,1977-1985 puis 2002-2011 puis 2016-2020,400
8,Brabham,1962-1987 puis 1989-1992,394
9,Sauber,1993-2005 puis 2011-2018,373
10,Mercedes,1954-1955 & depuis 2010,341
