0,1,2,3
#,Pilote,Âge,Course
1,Andrea Kimi Antonelli,"18 ans, 7 mois et 12 jours",Grand Prix automobile du Japon 2025
2,Max Verstappen,"18 ans, 7 mois et 15 jours",Grand Prix automobile d'Espagne 2016
3,Sebastian Vettel,"20 ans, 2 mois et 27 jours",Grand Prix automobile du Japon 2007
4,Charles Leclerc,"21 ans, 5 mois et 15 jours",Grand Prix automobile de Bahreïn 2019
5,Sébastien Buemi,"21 ans, 7 mois et 13 jours",Grand Prix automobile du Canada 2010
6,Fernando Alonso,"21 ans, 7 mois et 23 jours",Grand Prix automobile de Malaisie 2003
7,Robert Kubica,"21 ans, 9 mois et 3 jours",Grand Prix automobile d'Italie 2006
8,Esteban Gutiérrez,21 ans et 9 mois et 7 jours,Grand Prix automobile d'Espagne 2013
9,Jimmy Davies,"21 ans, 9 mois et 12 jours",500 miles d'Indianapolis 1951
10,Lando Norris,"21 ans, 9 mois et 30 jours",Grand Prix automobile d'Italie 2021
