0,1,2,3,4
#,Pilote,Meilleurs tours,Départs,%
1,Michael Schumacher,77,308,"25,08 %"
2,Lewis Hamilton,68,380,"17,89 %"
3,Kimi Räikkönen,46,349,"13,18 %"
4,Alain Prost,41,199,"20,60 %"
5,Sebastian Vettel,38,299,"12,71 %"
6,Max Verstappen,36,233,"15,45 %"
7,Nigel Mansell,30,187,"16,04 %"
8,Jim Clark,28,72,"38,89 %"
9,Fernando Alonso,26,425,"6,12 %"
10,Mika Häkkinen,25,161,"15,53 %"
