0,1,2,3,4
#,Pilote,Podiums,Départs,%
1,Lewis Hamilton,202,380,"53,16 %"
2,Michael Schumacher,155,307,"50,49 %"
3,Max Verstappen,127,233,"54,51 %"
4,Sebastian Vettel,122,299,"40,80 %"
5,Alain Prost,106,199,"53,27 %"
6,Fernando Alonso,106,425,"24,94 %"
7,Kimi Räikkönen,103,350,"29,43 %"
8,Ayrton Senna,80,161,"49,69 %"
9,Rubens Barrichello,68,323,"21,05 %"
10,Valtteri Bottas,67,246,"27,24 %"
