0,1,2,3
#,Écurie,Année du titre,Titres
1,Ferrari,1961 - 1964 - 1975 - 1976 - 1977 - 1979 - 1982 - 1983 - 1999 - 2000 - 2001 - 2002 - 2003 - 2004 - 2007 - 2008,16
2,McLaren,1974 - 1984 - 1985 - 1988 - 1989 - 1990 - 1991 - 1998 - 2024 - 2025,10
3,Williams,1980 - 1981 - 1986 - 1987 - 1992 - 1993 - 1994 - 1996 - 1997,9
4,Mercedes,2014 - 2015 - 2016 - 2017 - 2018 - 2019 - 2020 - 2021,8
5,Team Lotus,1963 - 1965 - 1968 - 1970 - 1972 - 1973 - 1978,7
6,Red Bull Racing,2010 - 2011 - 2012 - 2013 - 2022 - 2023,6
7,Cooper,1959 - 1960,2
8,Brabham,1966 - 1967,2
9,Renault,2005 - 2006,2
10,Vanwall,1958,1
11,British Racing Motors,1962,1
12,Matra Sports,1969,1
13,Tyrrell,1971,1
14,/ Benetton,1995,1
15,Brawn GP,2009,1
