0,1,2,3
#,Pilote,Âge,Course
1,Louis Chiron,"55 ans, 9 mois et 19 jours",Grand Prix automobile de Monaco 1955
2,Philippe Étancelin,"55 ans, 6 mois et 8 jours",Grand Prix automobile de France 1952
3,Arthur Legat,"54 ans, 7 mois et 20 jours",Grand Prix automobile de Belgique 1953
4,Luigi Fagioli,53 ans et 22 jours,Grand Prix automobile de France 1951
5,Adolf Brudes,"52 ans, 9 mois et 19 jours",Grand Prix automobile d'Allemagne 1952
6,Hans Stuck,"52 ans, 8 mois et 17 jours",Grand Prix automobile d'Italie 1953
7,Bill Aston,"52 ans, 4 mois et 5 jours",Grand Prix automobile d'Allemagne 1952
8,Clemente Biondetti,52 ans et 16 jours,Grand Prix automobile d'Italie 1950
9,Louis Rosier,50 ans et 9 mois,Grand Prix automobile d'Allemagne 1956
10,Rudolf Schoeller,"50 ans, 3 mois et 7 jours",Grand Prix automobile d'Allemagne 1952
