0,1,2,3
#,Pilote,Âge,Saison
1,Sebastian Vettel,"23 ans, 4 mois et 11 jours",2010
2,Lewis Hamilton,"23 ans, 9 mois et 26 jours",2008
3,Fernando Alonso,"24 ans, 1 mois et 27 jours",2005
4,Max Verstappen,"24 ans, 2 mois et 12 jours",2021
5,Emerson Fittipaldi,"25 ans, 8 mois et 29 jours",1972
6,Michael Schumacher,"25 ans, 10 mois et 10 jours",1994
7,Lando Norris,26 ans et 24 jours,2025
8,Niki Lauda,"26 ans, 6 mois et 16 jours",1975
9,Jacques Villeneuve,"26 ans, 6 mois et 17 jours",1997
10,Jim Clark,"27 ans, 6 mois et 4 jours",1963
