0,1,2,3,4
#,Pays,Titres,Nombre de pilotes,Dernier
1,Royaume-Uni,21,11,2025
2,Allemagne,12,3,2016
3,Brésil,8,3,1991
4,Argentine,5,1,1957
5,Australie,4,2,1980
5,Autriche,4,2,1984
5,France,4,1,1993
5,Finlande,4,3,2007
5,Pays-Bas,4,1,2024
10,Italie,3,2,1953
11,États-Unis,2,2,1978
11,Espagne,2,1,2006
13,Nouvelle-Zélande,1,1,1967
13,Afrique du Sud,1,1,1979
13,Canada,1,1,1997
