0,1,2,3
#,Pilote,Âge,Course
1,Sebastian Vettel,"21 ans, 2 mois et 11 jours",Grand Prix automobile d'Italie 2008
2,Charles Leclerc,"21 ans, 5 mois et 15 jours",Grand Prix automobile de Bahreïn 2019
3,Fernando Alonso,"21 ans, 7 mois et 23 jours",Grand Prix automobile de Malaisie 2003
4,Max Verstappen,"21 ans, 10 mois et 5 jours",Grand Prix automobile de Hongrie 2019
5,Lando Norris,"21 ans, 10 mois et 13 jours",Grand Prix automobile de Russie 2021
6,Lance Stroll,22 ans et 17 jours,Grand Prix automobile de Turquie 2020
7,Rubens Barrichello,"22 ans, 3 mois et 5 jours",Grand Prix automobile de Belgique 1994
8,Lewis Hamilton,"22 ans, 5 mois et 3 jours",Grand Prix automobile du Canada 2007
9,Andrea De Cesaris,"22 ans, 10 mois et 4 jours",Grand Prix automobile des États-Unis Ouest 1982
10,Nico Hülkenberg,"23 ans, 2 mois et 19 jours",Grand Prix automobile du Brésil 2010
