0,1,2,3
#,Écurie,Départs,Points
1,Ferrari,1 122,10 722
2,Red Bull,417,8 288
3,Mercedes,341,"8 159,5"
4,McLaren,994,"7 790,5"
5,Williams,875,3 774
6,Lotus,606,2 074
7,Renault,400,1 777
8,Force India,203,1 039
9,Brabham,394,864
10,/ Benetton,260,8515
