0,1,2
#,Pilote,Kilomètres
1,Fernando Alonso,115 658
2,Lewis Hamilton,109 067
3,Kimi Räikkönen,92 599
4,Sebastian Vettel,82 891
5,Michael Schumacher,81 195
6,Jenson Button,80 835
7,Rubens Barrichello,80 591
8,Sergio Pérez,78 600
9,Felipe Massa,74 310
10,Daniel Ricciardo,71 417
