0,1,2,3
#,Pilote,Âge,Course
1,Giuseppe Farina,"47 ans, 2 mois et 18 jours",Grand Prix automobile d'Argentine 1954
2,Juan Manuel Fangio,"46 ans, 6 mois et 26 jours",Grand Prix automobile d'Argentine 1958
3,Jack Brabham,44 ans et 17 jours,Grand Prix automobile d'Espagne 1970
4,Mario Andretti,"42 ans, 6 mois et 15 jours",Grand Prix automobile d'Italie 1982
5,Nigel Mansell,"41 ans, 3 mois et 5 jours",Grand Prix automobile d'Australie 1994
6,Carlos Reutemann,"39 ans, 6 mois et 5 jours",Grand Prix automobile de Las Vegas 1981
7,Graham Hill,"39 ans, 5 mois et 5 jours",Grand Prix automobile de Grande-Bretagne 1968
8,Kimi Räikkönen,"38 ans, 10 mois et 16 jours",Grand Prix automobile d'Italie 2018
9,Fred Agabashian,"38 ans, 9 mois et 9 jours",500 miles d'Indianapolis 1952
10,Alain Prost,38 ans et 8 mois,Grand Prix automobile du Japon 1993
