0,1,2,3,4
,Pilote,Victoires,Départs,%
1.0,Lewis Hamilton,105,380,"27,63 %"
2.0,Michael Schumacher,91,307,"29,64 %"
3.0,Max Verstappen,71,233,"30,47 %"
4.0,Sebastian Vettel,53,299,"17,73 %"
5.0,Alain Prost,51,199,"25,63 %"
6.0,Ayrton Senna,41,161,"25,47 %"
7.0,Fernando Alonso,32,425,"7,53 %"
8.0,Nigel Mansell,31,187,"16,58 %"
9.0,Jackie Stewart,27,99,"27,27 %"
10.0,Jim Clark,25,72,"34,72 %"
