0,1,2,3
#,Pilote,Âge,Course
1,Philippe Étancelin,"53 ans, 8 mois et 6 jours",Grand Prix automobile d'Italie 1950
2,Luigi Fagioli,53 ans et 22 jours,Grand Prix automobile de France 1951
3,Louis Chiron,"50 ans, 9 mois et 18 jours",Grand Prix automobile de Monaco 1950
4,Louis Rosier,"50 ans, 9 mois et 10 jours",Grand Prix automobile d'Allemagne 1956
5,Felice Bonetto,"50 ans, 2 mois et 14 jours",Grand Prix automobile de Suisse 1953
6,Piero Taruffi,"48 ans, 10 mois et 30 jours",Grand Prix automobile d'Italie 1955
7,Giuseppe Farina,"48 ans, 7 mois et 6 jours",Grand Prix automobile de Belgique 1955
8,Chico Landi,"48 ans, 6 mois et 8 jours",Grand Prix automobile d'Argentine 1956
9,Yves Giraud-Cabantous,"47 ans, 8 mois et 9 jours",Grand Prix automobile de Belgique 1951
10,Luigi Villoresi,47 ans et 18 jours,Grand Prix automobile de Belgique 1956
