0,1,2,3
#,Pilote,Âge,Course
1,Luigi Fagioli,53 ans et 22 jours,Grand Prix automobile de France 1951
2,Giuseppe Farina,"46 ans, 9 mois et 3 jours",Grand Prix automobile d'Allemagne 1953
3,Juan Manuel Fangio,"46 ans, 1 mois et 11 jours",Grand Prix automobile d'Allemagne 1957
4,Piero Taruffi,"45 ans, 7 mois et 6 jours",Grand Prix automobile de Suisse 1952
5,Jack Brabham,"43 ans, 11 mois et 5 jours",Grand Prix automobile d'Afrique du Sud 1970
6,Sam Hanks,"42 ans, 10 mois et 17 jours",500 miles d'Indianapolis 1957
7,Nigel Mansell,"41 ans, 3 mois et 5 jours",Grand Prix automobile d'Australie 1994
8,Maurice Trintignant,"40 ans, 6 mois et 18 jours",Grand Prix automobile de Monaco 1958
9,Graham Hill,"40 ans, 3 mois et 3 jours",Grand Prix automobile de Monaco 1969
10,Clay Regazzoni,"39 ans, 10 mois et 9 jours",Grand Prix automobile de Grande-Bretagne 1979
