Entrant,Constructor,Chassis,Engine†,Tyre,No.,Driver,Rounds
Scuderia Ferrari Marlboro,Ferrari,F2001B F2002,Ferrari Tipo 050 Ferrari Tipo 051,B,1,Michael Schumacher,All
Scuderia Ferrari Marlboro,Ferrari,F2001B F2002,Ferrari Tipo 050 Ferrari Tipo 051,B,2,Rubens Barrichello,All
West McLaren Mercedes,McLaren-Mercedes,MP4-17,Mercedes FO110M,M,3,David Coulthard,All
West McLaren Mercedes,McLaren-Mercedes,MP4-17,Mercedes FO110M,M,4,Kimi Räikkönen,All
BMW WilliamsF1 Team,Williams-BMW,FW24,BMW P82,M,5,Ralf Schumacher,All
BMW WilliamsF1 Team,Williams-BMW,FW24,BMW P82,M,6,Juan Pablo Montoya,All
Sauber Petronas,Sauber-Petronas,C21,Petronas 02A,B,7,Nick Heidfeld,All
Sauber Petronas,Sauber-Petronas,C21,Petronas 02A,B,8,Felipe Massa,"1–15, 17"
Sauber Petronas,Sauber-Petronas,C21,Petronas 02A,B,8,Heinz-Harald Frentzen,16
DHL Jordan Honda,Jordan-Honda,EJ12,Honda RA002E,B,9,Giancarlo Fisichella,All
DHL Jordan Honda,Jordan-Honda,EJ12,Honda RA002E,B,10,Takuma Sato,All
Lucky Strike BAR Honda,BAR-Honda,004,Honda RA002E,B,11,Jacques Villeneuve,All
Lucky Strike BAR Honda,BAR-Honda,004,Honda RA002E,B,12,Olivier Panis,All
Mild Seven Renault F1 Team,Renault,R202,Renault RS22,M,14,Jarno Trulli,All
Mild Seven Renault F1 Team,Renault,R202,Renault RS22,M,15,Jenson Button,All
Jaguar Racing F1 Team,Jaguar-Cosworth,R3 R3B,Cosworth CR-3 Cosworth CR-4,M,16,Eddie Irvine,All
Jaguar Racing F1 Team,Jaguar-Cosworth,R3 R3B,Cosworth CR-3 Cosworth CR-4,M,17,Pedro de la Rosa,All
Orange Arrows,Arrows-Cosworth,A23,Cosworth CR-3,B,20,Heinz-Harald Frentzen,1–12
Orange Arrows,Arrows-Cosworth,A23,Cosworth CR-3,B,21,Enrique Bernoldi,1–12
KL Minardi Asiatech,Minardi-Asiatech,PS02,Asiatech AT02,M,22,Alex Yoong,"1–12, 15–17"
KL Minardi Asiatech,Minardi-Asiatech,PS02,Asiatech AT02,M,22,Anthony Davidson,13–14
KL Minardi Asiatech,Minardi-Asiatech,PS02,Asiatech AT02,M,23,Mark Webber,All
Panasonic Toyota Racing,Toyota,TF102,Toyota RVX-02,M,24,Mika Salo,All
Panasonic Toyota Racing,Toyota,TF102,Toyota RVX-02,M,25,Allan McNish,All
Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4],Sources:[2][3][4]
