Pos.,Constructor,No.,AUS,MAL,BRA,SMR,ESP,AUT,MON,CAN,EUR,GBR,FRA,GER,HUN,BEL,ITA,USA,JPN,Points
1,Ferrari,1,1,3P,1,1P,1PF,1F,2,1,2F,1,1,1PF,2F,1PF,2,2P,1PF,221
1,Ferrari,2,RetP,Ret,Ret,2F,Ret,2P,7F,3,1,2F,DNS,4,1P,2,1F,1F,2,221
2,Williams-BMW,5,Ret,1,2,3,11†,4,3,7,4,8,5,3,3,5,Ret,16,11†,92
2,Williams-BMW,6,2,2F,5PF,4,2,3,RetP,RetPF,RetP,3P,4P,2,11,3,RetP,4,4,92
3,McLaren-Mercedes,3,Ret,Ret,3,6,3,6,1,2,Ret,10,3F,5,5,4,7,3,Ret,65
3,McLaren-Mercedes,4,3F,Ret,12†,Ret,Ret,Ret,Ret,4,3,Ret,2,Ret,4,Ret,Ret,Ret,3,65
4,Renault,14,Ret,Ret,Ret,9,10†,Ret,4,6,8,Ret,Ret,Ret,8,Ret,4,5,Ret,23
4,Renault,15,Ret,4,4,5,12†,7,Ret,15†,5,12†,6,Ret,Ret,Ret,5,8,6,23
5,Sauber-Petronas,7,Ret,5,Ret,10,4,Ret,8,12,7,6,7,6,9,10,10,9,7,11
5,Sauber-Petronas,8,Ret,6,Ret,8,5,Ret,Ret,9,6,9,Ret,7,7,Ret,Ret,13,Ret,11
6,Jordan-Honda,9,Ret,13,Ret,Ret,Ret,5,5,5,Ret,7,DNQ,Ret,6,Ret,8,7,Ret,9
6,Jordan-Honda,10,Ret,9,9,Ret,Ret,Ret,Ret,10,16,Ret,Ret,8,10,11,12,11,5,9
7,Jaguar-Cosworth,16,4,Ret,7,Ret,Ret,Ret,9,Ret,Ret,Ret,Ret,Ret,Ret,6,3,10,9,8
7,Jaguar-Cosworth,17,8,10,8,Ret,Ret,Ret,10,Ret,11,11,9,Ret,13,Ret,Ret,Ret,Ret,8
8,BAR-Honda,11,Ret,8,10†,7,7,10†,Ret,Ret,12,4,Ret,Ret,Ret,8,9,6,Ret,7
8,BAR-Honda,12,Ret,Ret,Ret,Ret,Ret,Ret,Ret,8,9,5,Ret,Ret,12,12†,6,12,Ret,7
9,Minardi-Asiatech,22,7,Ret,13,DNQ,WD,Ret,Ret,14,Ret,DNQ,10,DNQ,Ret,Ret,13,Ret,Ret,2
9,Minardi-Asiatech,23,5,Ret,11,11,WD,12,11,11,15,Ret,8,Ret,16,Ret,Ret,Ret,10,2
10,Toyota,24,6,12,6,Ret,9,8,Ret,Ret,Ret,Ret,Ret,9,15,7,11,14,8,2
10,Toyota,25,Ret,7,Ret,Ret,8,9,Ret,Ret,14,Ret,11†,Ret,14,9,Ret,15,DNS,2
11,Arrows-Cosworth,20,DSQ,11,Ret,Ret,6,11,6,13,13,Ret,DNQ,Ret,,,,,,2
11,Arrows-Cosworth,21,DSQ,Ret,Ret,Ret,Ret,Ret,12,Ret,10,Ret,DNQ,Ret,,,,,,2
Pos.,Constructor,No.,AUS,MAL,BRA,SMR,ESP,AUT,MON,CAN,EUR,GBR,FRA,GER,HUN,BEL,ITA,USA,JPN,Points
Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1],Sources:[42][1]
