Round,Grand Prix,Circuit,Date
1,Brazilian Grand Prix,"Autódromo de Jacarepaguá, Rio de Janeiro",23 March
2,Spanish Grand Prix,"Circuito de Jerez, Jerez de la Frontera",13 April
3,San Marino Grand Prix,"Autodromo Dino Ferrari, Imola",27 April
4,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",11 May
5,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",25 May
6,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montréal",15 June
7,Detroit Grand Prix,"Detroit Street Circuit, Downtown Detroit, Michigan",22 June
8,French Grand Prix,"Paul Ricard Circuit, Le Castellet",6 July
9,British Grand Prix,"Brands Hatch, West Kingsdown",13 July
10,German Grand Prix,"Hockenheimring, Hockenheim",27 July
11,Hungarian Grand Prix,"Hungaroring, Mogyoród",10 August
12,Austrian Grand Prix,"Österreichring, Spielberg",17 August
13,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",7 September
14,Portuguese Grand Prix,"Autódromo do Estoril, Estoril",21 September
15,Mexican Grand Prix,"Autódromo Hermanos Rodríguez, Mexico City",12 October
16,Australian Grand Prix,"Adelaide Street Circuit, Adelaide",26 October
