Round,Grand Prix,Circuit,Date
1,Brazilian Grand Prix,"Jacarepaguá, Rio de Janeiro",25 March
2,South African Grand Prix,"Kyalami Grand Prix Circuit, Midrand",7 April
3,Belgian Grand Prix,"Circuit Zolder, Heusden-Zolder",29 April
4,San Marino Grand Prix,"Autodromo Dino Ferrari, Imola",6 May
5,French Grand Prix,"Dijon-Prenois, Dijon",20 May
6,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",3 June
7,Canadian Grand Prix,"Circuit Gilles Villeneuve, Montreal",17 June
8,Detroit Grand Prix,"Detroit Street Circuit, Michigan",24 June
9,Dallas Grand Prix,"Fair Park Street Circuit, Dallas",8 July
10,British Grand Prix,"Brands Hatch, West Kingsdown",22 July
11,German Grand Prix,"Hockenheimring, Hockenheim",5 August
12,Austrian Grand Prix,"Österreichring, Spielberg",19 August
13,Dutch Grand Prix,"Circuit Park Zandvoort, Zandvoort",26 August
14,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",9 September
15,European Grand Prix,"Nürburgring, Nürburg",7 October
16,Portuguese Grand Prix,"Autodromo do Estoril, Estoril",21 October
