Round,Grand Prix,Circuit,Date
1,Argentine Grand Prix,"Autódromo Oscar Alfredo Gálvez, Buenos Aires",7 February
2,Monaco Grand Prix,"Circuit de Monaco, Monte Carlo",29 May
3,Indianapolis 500,"Indianapolis Motor Speedway, Speedway",30 May[a]
4,Dutch Grand Prix,"Circuit Zandvoort, Zandvoort",6 June
5,Belgian Grand Prix,"Circuit de Spa-Francorchamps, Stavelot",19 June
6,French Grand Prix,"Reims-Gueux, Gueux",3 July
7,British Grand Prix,"Silverstone Circuit, Silverstone",16 July
8,Portuguese Grand Prix,"Circuito da Boavista, Porto",14 August
9,Italian Grand Prix,"Autodromo Nazionale di Monza, Monza",4 September
10,United States Grand Prix,"Riverside International Raceway, California",20 November
