Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Tyre,Report
1,Argentine Grand Prix,Stirling Moss,Stirling Moss,Bruce McLaren,Cooper-Climax,D,Report
2,Monaco Grand Prix,Stirling Moss,Bruce McLaren,Stirling Moss,Lotus-Climax,D,Report
3,Indianapolis 500,Eddie Sachs,Jim Rathmann,Jim Rathmann,Watson-Offenhauser,F,Report
4,Dutch Grand Prix,Stirling Moss,Stirling Moss,Jack Brabham,Cooper-Climax,D,Report
5,Belgian Grand Prix,Jack Brabham,Jack Brabham  Innes Ireland  Phil Hill,Jack Brabham,Cooper-Climax,D,Report
6,French Grand Prix,Jack Brabham,Jack Brabham,Jack Brabham,Cooper-Climax,D,Report
7,British Grand Prix,Jack Brabham,Graham Hill,Jack Brabham,Cooper-Climax,D,Report
8,Portuguese Grand Prix,John Surtees,John Surtees,Jack Brabham,Cooper-Climax,D,Report
9,Italian Grand Prix,Phil Hill,Phil Hill,Phil Hill,Ferrari,D,Report
10,United States Grand Prix,Stirling Moss,Jack Brabham,Stirling Moss,Lotus-Climax,D,Report
