vteWorld championships in 2019,vteWorld championships in 2019.1
Summer sports & indoor sports,Aquatics artistic swimming diving high diving open water swimming swimming water polo Archery Association football (women) Athletics cross country relay Badminton mixed team Basketball men 3x3 Beach soccer Beach volleyball Bowls Boxing men women Canoeing slalom sprint marathon Cricket Test ODI (men) Cycling road track mountain bike cyclo-cross BMX Fencing Floorball (women) Futsal (AMF men) Gymnastics artistic rhythmic trampoline Handball men women Judo Korfball Minifootball Modern pentathlon Muaythai Netball Nine-pin bowling Orienteering Roller hockey men women Rowing Rugby union (men) Shooting (shotgun) Softball (men) Sport climbing Squash men 2018–19  2019–20 women 2018–19 2019–20 Surfing Table tennis men women team Taekwondo Weightlifting Windsurfing Wrestling Wushu
Winter sports,Alpine skiing Bandy (men) Biathlon Bobsleigh / skeleton Curling men women mixed mixed doubles wheelchair Figure skating Freestyle skiing / snowboarding Ice hockey men women Luge Nordic skiing Speed skating allround single distances sprint short track
Cue & mind sports,Chess rapid blitz Darts BDO PDC Draughts men women Pool Nine-ball Ten-ball Snooker six-red
Motor sports,Air race Aquabike Endurance auto racing 2018–19 2019–20 Endurance motorcycle racing 2018–19 2019–20 F1 Powerboat Formula One Motocross men women team MotoGP Moto2 Moto3 MotoE Radio-controlled 1:10 off-road Rally Rallycross Rally raid Auto Moto Bajas auto Bajas moto Speedway individual team Sidecarcross Superbike Supersport Supersport 300 Touring car
