Unnamed: 0,Constructor,Seasons,Races,1–2s,Percentage
1,Ferrari,1950–2025,1122,87,7.75%
2,Mercedes,"1954–1955, 2010–2025",341,60,17.60%
3,McLaren,1966–2025,994,56,5.63%
4,Williams,1978–2025,850,33,3.88%
5,/ Red Bull Racing[N 2],2005–2025,417,31,7.43%
6,Lotus,1958–1994,489,8,1.64%
6,Brabham,"1962–1987, 1989–1992",394,8,2.03%
6,Tyrrell,1970–1998,430,8,1.86%
9,Cooper,1950–1969,129,6,4.65%
10,BRM,1951–1977,197,5,2.54%
Source:[9],Source:[9],Source:[9],Source:[9],Source:[9],Source:[9]
