Unnamed: 0,Constructor,Podium finishes,Podium races*,Unnamed: 4
1,Red Bull Racing,24,18,
2,McLaren,20,13,
3,Ferrari,13,11,
3,Mercedes,13,10,
5,Alpine,1,1,
5,Williams,1,1,
Source:[48],Source:[48],Source:[48],Source:[48],Source:[48]
