Description,Record,Details,Ref
Most seasons with points finishes,68,Ferrari,[81]
Most consecutive seasons with points finishes,68,Ferrari (1958 - 2025) (ongoing),[82]
Longest time between successive points finishes,"37 years, 129 days",Honda (1968 Mexican Grand Prix – 2006 Bahrain Grand Prix),[83]
Most races between successive points finishes,595,Alfa Romeo (1984 European Grand Prix – 2019 Australian Grand Prix),[83]
