Unnamed: 0,Constructor,Entries,Races led,Percentage
1,Ferrari,1124,509,45.28%
2,McLaren,998,366,36.67%
3,Williams,851,226,26.56%
4,/ Red Bull Racing[N 2],418,203,48.56%
5,Mercedes,341,189,55.43%
6,Lotus,491,146,29.74%
7,Brabham,403,91,22.58%
8,/ Renault[N 3],403,88,21.84%
9,/ Benetton[N 4],260,55,21.15%
10,BRM,197,40,20.30%
Source:[36],Source:[36],Source:[36],Source:[36],Source:[36]
