Unnamed: 0,Constructor,Entries,Starts,Seasons
1,Ferrari,1124,1122,1950–2025
2,McLaren,998,994,1966–2025
3,Williams,851,850,1978–2025
4,/ Sauber/BMW Sauber[N 1],513,510,"1993–2018, 2024–2025"
5,Lotus,491,489,1958–1994
6,Tyrrell,433,430,1970–1998
7,/ Red Bull Racing[N 2],418,417,2005–2025
8,/ Renault[N 3],403,400,"1977–1985, 2002–2011,2016–2020"
9,Brabham,403,394,"1962–1987, 1989–1992"
10,Arrows,394,382,1978–2002
Source:[1],Source:[1],Source:[1],Source:[1],Source:[1]
