Description,Record,Details,Ref
Podiums at most different Grands Prix,44,Ferrari,[75]
Podiums at most different circuits,70,Ferrari,[76]
Most seasons with a podium,74,Ferrari,[77]
Most consecutive seasons with a podium finish,45,Ferrari (1981 - 2025) (ongoing),[78]
Longest time between first and last podiums,"75 years, 158 days",Ferrari (1950 Monaco Grand Prix – 2025 Mexican Grand Prix),[79]
Longest time between successive podiums,"54 years, 206 days",Mercedes (1955 Italian Grand Prix – 2010 Malaysian Grand Prix),[80]
Most races between successive podiums,775,Mercedes (1955 Italian Grand Prix – 2010 Malaysian Grand Prix),[80]
