Unnamed: 0,Constructor,Podiums,Podium races[N 6],Seasons
1,Ferrari,836,639,1950–2025
2,McLaren,558,443,1966–2025
3,Williams,315,246,1978–2025
4,Mercedes,310,210,"1954–1955, 2010–2025"
5,/ Red Bull Racing[N 2],297,233,2005–2025
6,Lotus,172,157,1958–1994
7,Brabham,124,106,"1962–1987, 1989–1992"
8,/ Renault[N 3],103,91,"1977–1985, 2002–2011, 2016–2020"
9,/ Benetton[N 4],102,94,1986–2001
10,Tyrrell,77,66,1970–1998
Source:[25],Source:[25],Source:[25],Source:[25],Source:[25]
