Description,Record,Details,Ref
Longest time between successive starts,"60 years, 256 days",Aston Martin (1960 British Grand Prix – 2021 Bahrain Grand Prix),[51]
Most races between successive starts,945,Aston Martin (1960 British Grand Prix – 2021 Bahrain Grand Prix),[51]
Most seasons with a start,76,Ferrari (1950–2025),[52]
Most consecutive race starts,778,Ferrari (1982 Italian Grand Prix – 2025 Abu Dhabi Grand Prix),[53]
Most entries with the same engine,1124,Ferrari,[54]
