Unnamed: 0,Constructor,Seasons,Fastest laps
1,Ferrari,1950–2025,265
2,McLaren,1966–2025,183
3,Williams,1978–2025,134
4,Mercedes,"1954–1955, 2010–2025",115
5,/ Red Bull Racing[N 2],2005–2025,102
6,Lotus,1958–1994,71
7,Brabham,"1962–1987, 1989–1992",41
8,/ Benetton[N 4],1986–2001,36
9,/ Renault[N 3],"1977–1985, 2002–2011, 2016–2020",33
10,Tyrrell,1970–1998,20
Source:[20],Source:[20],Source:[20],Source:[20]
