Unnamed: 0,Constructor,Season,Races,1–2s,Percentage
1,Mercedes,2015,19,12,63.16%
2,Mercedes,2014,19,11,57.89%
3,McLaren,1988,16,10,62.50%
4,Ferrari,2002,17,9,52.94%
4,Mercedes,2019,21,9,42.86%
6,Ferrari,2004,18,8,44.44%
6,Mercedes,2016,21,8,38.10%
8,McLaren,2025,24,7,29.17%
9,Ferrari,1952,8,6,75.00%
9,Williams,1992,16,6,37.50%
9,Williams,1996,16,6,37.50%
9,Red Bull Racing,2023,22,6,27.27%
Source:[10],Source:[10],Source:[10],Source:[10],Source:[10],Source:[10]
