Unnamed: 0,Constructor,Seasons,Poles,Entries,Percentage
1,Lancia,1954–1955,2,4,50.00%
2,Mercedes,"1954–1955, 2010–2025",143,341,41.94%
3,Brawn,2009,5,17,29.41%
4,/ Red Bull Racing[N 2],2005–2025,111,418,26.56%
5,Vanwall,1954–1960,7,29,24.14%
6,Ferrari,1950–2025,254,1124,22.60%
7,Lotus,1958–1994,107,491,21.79%
8,McLaren,1966–2025,177,998,17.74%
9,Williams,1978–2025,128,851,15.04%
10,Maserati,1950–1960,10,71,14.08%
Source:[12],Source:[12],Source:[12],Source:[12],Source:[12],Source:[12]
