Description,Record,Details,Ref
Wins at most different Grands Prix,36,Mercedes,[55]
Wins at most different circuits,51,McLaren,[56]
Longest time between first and last wins,"73 years, 105 days",Ferrari (1951 British Grand Prix – 2024 Mexican Grand Prix),[57]
Longest time between successive wins,"56 years, 217 days",Mercedes (1955 Italian Grand Prix – 2012 Chinese Grand Prix),[58]
Most races between successive wins,813,Mercedes (1955 Italian Grand Prix – 2012 Chinese Grand Prix),[58]
Most consecutive wins at the same Grand Prix,8 (2014 - 2021),Mercedes (Russian Grand Prix),[59]
Most different race winners in consecutive races,7 (1982 - 1983),Ferrari (1982 German Grand Prix)  Lotus (1982 Austrian Grand Prix)  Williams (1982 Swiss Grand Prix)  Renault (1982 Italian Grand Prix)  Tyrrell (1982 Caesars Palace Grand Prix)  Brabham (1983 Brazilian Grand Prix)  McLaren (1983 United States Grand Prix West),[60]
