Unnamed: 0,Constructor,Season,Races,Wins,Percentage
1,Red Bull Racing,2023,22,21,95.45%
2,Mercedes,2016,21,19,90.48%
3,Red Bull Racing,2022,22,17,77.27%
4,Mercedes,2014,19,16,84.21%
4,Mercedes,2015,19,16,84.21%
6,McLaren,1988,16,15,93.75%
6,Ferrari,2002,17,15,88.24%
6,Ferrari,2004,18,15,83.33%
6,Mercedes,2019,21,15,71.43%
10,McLaren,2025,24,14,58.33%
Source:[3],Source:[3],Source:[3],Source:[3],Source:[3],Source:[3]
