Description,Record,Details,Ref
Fastest pit stop,1.80 s,"McLaren for Lando Norris ( 2023 Qatar Grand Prix, lap 27)",[92]
Slowest pit stop (Classified as DNF),43 h 15 min,"Mercedes for Valtteri Bottas ( 2021 Monaco Grand Prix, lap 30)",[93]
Slowest pit stop (Finished the race),72 s,"Ferrari for Rubens Barrichello ( 2001 Malaysian Grand Prix, lap 4)",[94]
Most hat-tricks,90,Ferrari,[95]
Most grand slams,42,Ferrari,[96]
