Unnamed: 0,Constructor,Seasons,1–2s
1,Mercedes,"1954–1955, 2010–2025",84
2,Ferrari,1950–2025,83
3,McLaren,1966–2025,71
4,Williams,1978–2025,62
5,/ Red Bull Racing[N 2],2005–2025,28
6,/ Renault[N 3],"1977–1985, 2002–2011, 2016–2020",22
7,Lotus,1958–1994,14
8,/ Alfa Romeo[N 5],"1950–1951, 1979–1985, 2019–2023",9
9,Brabham,"1962–1987, 1989–1992",6
10,Ligier/Talbot Ligier,1976–1996,5
Source:[16],Source:[16],Source:[16],Source:[16]
