Unnamed: 0,Constructor,Races,Wins,Percentage
1,Brawn,17,8,47.06%
2,Mercedes,341,131,38.42%
3,Vanwall,28,9,32.14%
4,/ Red Bull Racing[N 2],417,130,31.18%
5,Ferrari,1122,248,22.10%
6,McLaren,994,203,20.42%
7,Lotus,489,79,16.16%
8,Matra,61,9,14.75%
9,Williams,850,114,13.41%
10,Cooper,129,16,12.40%
Source:[2],Source:[2],Source:[2],Source:[2],Source:[2]
