Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Argentine Grand Prix,Stirling Moss,Stirling Moss,Juan Manuel Fangio,Maserati,Report
2,Monaco Grand Prix,Juan Manuel Fangio,Juan Manuel Fangio,Juan Manuel Fangio,Maserati,Report
3,Indianapolis 500,Pat O'Connor,Jim Rathmann,Sam Hanks,Salih-Offenhauser,Report
4,French Grand Prix,Juan Manuel Fangio,Luigi Musso,Juan Manuel Fangio,Maserati,Report
5,British Grand Prix,Stirling Moss,Stirling Moss,Tony Brooks  Stirling Moss,Vanwall,Report
6,German Grand Prix,Juan Manuel Fangio,Juan Manuel Fangio,Juan Manuel Fangio,Maserati,Report
7,Pescara Grand Prix,Juan Manuel Fangio,Stirling Moss,Stirling Moss,Vanwall,Report
8,Italian Grand Prix,Stuart Lewis-Evans,Tony Brooks,Stirling Moss,Vanwall,Report
