Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Officine Alfieri Maserati,Maserati,250F,Maserati 250F1 2.5 L6 Maserati 250F1 2.5 V12,P,Juan Manuel Fangio,"1–2, 4–8"
Officine Alfieri Maserati,Maserati,250F,Maserati 250F1 2.5 L6 Maserati 250F1 2.5 V12,P,Stirling Moss,1
Officine Alfieri Maserati,Maserati,250F,Maserati 250F1 2.5 L6 Maserati 250F1 2.5 V12,P,Jean Behra,"1, 4–8"
Officine Alfieri Maserati,Maserati,250F,Maserati 250F1 2.5 L6 Maserati 250F1 2.5 V12,P,Carlos Menditeguy,"1–2, 4–5"
Officine Alfieri Maserati,Maserati,250F,Maserati 250F1 2.5 L6 Maserati 250F1 2.5 V12,P,Giorgio Scarlatti,"2, 6–8"
Officine Alfieri Maserati,Maserati,250F,Maserati 250F1 2.5 L6 Maserati 250F1 2.5 V12,P,Harry Schell,"2, 4–8"
Officine Alfieri Maserati,Maserati,250F,Maserati 250F1 2.5 L6 Maserati 250F1 2.5 V12,P,Hans Herrmann,2
Scuderia Ferrari,Ferrari,801,Ferrari DS50 2.5 V8,E P,Peter Collins,"1–2, 4–6, 8"
Scuderia Ferrari,Ferrari,801,Ferrari DS50 2.5 V8,E P,Luigi Musso,"1, 4–8"
Scuderia Ferrari,Ferrari,801,Ferrari DS50 2.5 V8,E P,Eugenio Castellotti,1
Scuderia Ferrari,Ferrari,801,Ferrari DS50 2.5 V8,E P,Mike Hawthorn,"1–2, 4–6, 8"
Scuderia Ferrari,Ferrari,801,Ferrari DS50 2.5 V8,E P,Wolfgang von Trips,"1–2, 8"
Scuderia Ferrari,Ferrari,801,Ferrari DS50 2.5 V8,E P,Cesare Perdisa,1
Scuderia Ferrari,Ferrari,801,Ferrari DS50 2.5 V8,E P,Alfonso de Portago,1
Scuderia Ferrari,Ferrari,801,Ferrari DS50 2.5 V8,E P,José Froilán González,1
Scuderia Ferrari,Ferrari,801,Ferrari DS50 2.5 V8,E P,Maurice Trintignant,"2, 4–5"
Scuderia Centro Sud,Maserati,250F,Maserati 250F1 2.5 L6,P,Harry Schell,1
Scuderia Centro Sud,Maserati,250F,Maserati 250F1 2.5 L6,P,Jo Bonnier,"1, 7–8"
Scuderia Centro Sud,Maserati,250F,Maserati 250F1 2.5 L6,P,Masten Gregory,"2, 6–8"
Scuderia Centro Sud,Maserati,250F,Maserati 250F1 2.5 L6,P,André Simon,2
