Entrant,Constructor,Chassis,Engine,Tyre,Driver,Rounds
Scuderia Centro Sud,Maserati,250F,Maserati 250F1 2.5 L6,P,Hans Herrmann,6
Scuderia Centro Sud,Ferrari,500,Ferrari 625 2.5 L4,P,Alejandro de Tomaso,1
Luigi Piotti,Maserati,250F,Maserati 250F1 2.5 L6,P,Luigi Piotti,"1–2, 7–8"
Owen Racing Organisation,BRM,P25,BRM P25 2.5 L4,D,Ron Flockhart,"2, 4"
Owen Racing Organisation,BRM,P25,BRM P25 2.5 L4,D,Roy Salvadori,2
Owen Racing Organisation,BRM,P25,BRM P25 2.5 L4,D,Herbert MacKay-Fraser,4
Owen Racing Organisation,BRM,P25,BRM P25 2.5 L4,D,Jack Fairman,5
Owen Racing Organisation,BRM,P25,BRM P25 2.5 L4,D,Les Leston,5
Connaught Engineering,Connaught-Alta,B,Alta GP 2.5 L4,D,Stuart Lewis-Evans,2
Connaught Engineering,Connaught-Alta,B,Alta GP 2.5 L4,D,Ivor Bueb,2
Cooper Car Company,Cooper-Climax,T43,Climax FPF 2.0 L4,A D,Jack Brabham,"2, 4, 7"
Cooper Car Company,Cooper-Climax,T43,Climax FPF 2.0 L4,A D,Les Leston,2
Cooper Car Company,Cooper-Climax,T43,Climax FPF 2.0 L4,A D,Mike MacDowel,4
Cooper Car Company,Cooper-Climax,T43,Climax FPF 2.0 L4,A D,Roy Salvadori,"5, 7"
Cooper Car Company,Cooper-Climax,T43,Climax FPF 1.5 L4,D,Roy Salvadori,6
Vandervell Products,Vanwall,VW 5,Vanwall 254 2.5 L4,P,Stirling Moss,"2, 5–8"
Vandervell Products,Vanwall,VW 5,Vanwall 254 2.5 L4,P,Tony Brooks,"2, 5–8"
Vandervell Products,Vanwall,VW 5,Vanwall 254 2.5 L4,P,Stuart Lewis-Evans,4–8
Vandervell Products,Vanwall,VW 5,Vanwall 254 2.5 L4,P,Roy Salvadori,4
H.H. Gould,Maserati,250F,Maserati 250F1 2.5 L6,D,Horace Gould,"2, 4–8"
Jo Bonnier,Maserati,250F,Maserati 250F1 2.5 L6,P,Jo Bonnier,5
Gilby Engineering,Maserati,250F,Maserati 250F1 2.5 L6,D,Ivor Bueb,5
R.R.C. Walker Racing Team,Cooper-Climax,T43,Climax FPF 2.0 L4,D,Jack Brabham,5
R.R.C. Walker Racing Team,Cooper-Climax,T43,Climax FPF 1.5 L4,D,Jack Brabham,6
Bob Gerard,Cooper-Bristol,T44,Bristol BS2 2.2 L6,D,Bob Gerard,5
Bruce Halford,Maserati,250F,Maserati 250F1 2.5 L6,D,Bruce Halford,6–8
Dr Ing F. Porsche KG,Porsche,RS550,Porsche 547/3 1.5 F4,?,Umberto Maglioli,6
Dr Ing F. Porsche KG,Porsche,RS550,Porsche 547/3 1.5 F4,?,Edgar Barth,6
Ridgeway Management,Cooper-Climax,T43 T41,Climax FPF 1.5 L4 Climax FWB 1.5 L4,D,Tony Marsh,6
Ridgeway Management,Cooper-Climax,T43 T41,Climax FPF 1.5 L4 Climax FWB 1.5 L4,D,Paul England,6
Ecurie Maarsbergen,Porsche,RS550,Porsche 547/3 1.5 F4,D,Carel Godin de Beaufort,6
J.B. Naylor,Cooper-Climax,T43,Climax FPF 1.5 L4,D,Brian Naylor,6
Dick Gibson,Cooper-Climax,T43,Climax FPF 1.5 L4,D,Dick Gibson,6
Francisco Godia Sales,Maserati,250F,Maserati 250F1 2.5 L6,P,Paco Godia,6–8
Ottorino Volonterio,Maserati,250F,Maserati 250F1 2.5 L6,P,Ottorino Volonterio,8
Ottorino Volonterio,Maserati,250F,Maserati 250F1 2.5 L6,P,André Simon,8
