Ecurie,Victoire,1re victoire,Dre victoire,Constructeur(s)
Matra International/Tyrrell Racing,10,Pays-Bas 1968,Espagne 1970,"Matra (9), March (1)"
Rob Walker Racing,9,Argentine 1958,Grande-Bretagne 1968,"Cooper (4), Lotus (5)"
FISA,1,France 1961,France 1961,Ferrari
