Round,Grand Prix,Pole position,Fastest lap,Winning driver,Winning constructor,Report
1,Australian Grand Prix,Lewis Hamilton,Daniel Ricciardo,Nico Rosberg,Mercedes,Report
2,Bahrain Grand Prix,Lewis Hamilton,Nico Rosberg,Nico Rosberg,Mercedes,Report
3,Chinese Grand Prix,Nico Rosberg,Nico Hülkenberg,Nico Rosberg,Mercedes,Report
4,Russian Grand Prix,Nico Rosberg,Nico Rosberg,Nico Rosberg,Mercedes,Report
5,Spanish Grand Prix,Lewis Hamilton,Daniil Kvyat,Max Verstappen,Red Bull Racing-TAG Heuer,Report
6,Monaco Grand Prix,Daniel Ricciardo,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
7,Canadian Grand Prix,Lewis Hamilton,Nico Rosberg,Lewis Hamilton,Mercedes,Report
8,European Grand Prix,Nico Rosberg,Nico Rosberg,Nico Rosberg,Mercedes,Report
9,Austrian Grand Prix,Lewis Hamilton,Lewis Hamilton,Lewis Hamilton,Mercedes,Report
10,British Grand Prix,Lewis Hamilton,Nico Rosberg,Lewis Hamilton,Mercedes,Report
11,Hungarian Grand Prix,Nico Rosberg,Kimi Räikkönen,Lewis Hamilton,Mercedes,Report
12,German Grand Prix,Nico Rosberg,Daniel Ricciardo,Lewis Hamilton,Mercedes,Report
13,Belgian Grand Prix,Nico Rosberg,Lewis Hamilton,Nico Rosberg,Mercedes,Report
14,Italian Grand Prix,Lewis Hamilton,Fernando Alonso,Nico Rosberg,Mercedes,Report
15,Singapore Grand Prix,Nico Rosberg,Daniel Ricciardo,Nico Rosberg,Mercedes,Report
16,Malaysian Grand Prix,Lewis Hamilton,Nico Rosberg,Daniel Ricciardo,Red Bull Racing-TAG Heuer,Report
17,Japanese Grand Prix,Nico Rosberg,Sebastian Vettel,Nico Rosberg,Mercedes,Report
18,United States Grand Prix,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Report
19,Mexican Grand Prix,Lewis Hamilton,Daniel Ricciardo,Lewis Hamilton,Mercedes,Report
20,Brazilian Grand Prix,Lewis Hamilton,Max Verstappen,Lewis Hamilton,Mercedes,Report
21,Abu Dhabi Grand Prix,Lewis Hamilton,Sebastian Vettel,Lewis Hamilton,Mercedes,Report
Sources:[162][163],Sources:[162][163],Sources:[162][163],Sources:[162][163],Sources:[162][163],Sources:[162][163],Sources:[162][163]
